element,sample_mode,preprocessing,r2,rmse
Al,Dried,Baseline Corrected,0.4527,0.0661
B,Dried,Baseline Corrected,0.5923,0.0668
Ca,Dried,Baseline Corrected,0.4085,0.0844
Cu,Dried,Baseline Corrected,0.2438,0.1191
Fe,Dried,Baseline Corrected,0.2644,0.0978
Mg,Dried,Baseline Corrected,0.4943,0.0933
Mn,Dried,Baseline Corrected,0.4602,0.0882
N,Dried,Baseline Corrected,0.3387,0.0811
P,Dried,Baseline Corrected,0.4014,0.088
K,Dried,Baseline Corrected,0.5264,0.0752
Na,Dried,Baseline Corrected,0.2384,0.0785
S,Dried,Baseline Corrected,0.217,0.0958
Zn,Dried,Baseline Corrected,0.2285,0.0939
Al,Fresh,Baseline Corrected,-0.1624,0.0955
B,Fresh,Baseline Corrected,0.0982,0.1103
Ca,Fresh,Baseline Corrected,-0.4116,0.1227
Cu,Fresh,Baseline Corrected,-0.595,0.239
Fe,Fresh,Baseline Corrected,-0.4469,0.1393
Mg,Fresh,Baseline Corrected,0.3871,0.0782
Mn,Fresh,Baseline Corrected,-0.1366,0.1228
N,Fresh,Baseline Corrected,-2.4247,0.1478
P,Fresh,Baseline Corrected,-0.8109,0.1443
K,Fresh,Baseline Corrected,0.1988,0.0818
Na,Fresh,Baseline Corrected,0.0712,0.078
S,Fresh,Baseline Corrected,-0.9827,0.1058
Zn,Fresh,Baseline Corrected,0.088,0.0804
Al,Dried,Not Processed,0.5034,0.063
B,Dried,Not Processed,0.6403,0.0628
Ca,Dried,Not Processed,0.5257,0.0756
Cu,Dried,Not Processed,0.406,0.1055
Fe,Dried,Not Processed,0.1984,0.1021
Mg,Dried,Not Processed,0.5517,0.0879
Mn,Dried,Not Processed,0.367,0.0955
N,Dried,Not Processed,0.411,0.0766
P,Dried,Not Processed,0.475,0.0824
K,Dried,Not Processed,0.5795,0.0708
Na,Dried,Not Processed,0.3708,0.0714
S,Dried,Not Processed,0.2034,0.0966
Zn,Dried,Not Processed,0.3156,0.0884
Al,Fresh,Not Processed,0.1107,0.0835
B,Fresh,Not Processed,0.3631,0.0927
Ca,Fresh,Not Processed,0.3544,0.083
Cu,Fresh,Not Processed,0.1237,0.1771
Fe,Fresh,Not Processed,-0.0201,0.1169
Mg,Fresh,Not Processed,0.5764,0.065
Mn,Fresh,Not Processed,0.2352,0.1007
N,Fresh,Not Processed,0.0862,0.0763
P,Fresh,Not Processed,-0.2145,0.1182
K,Fresh,Not Processed,0.187,0.0824
Na,Fresh,Not Processed,0.1037,0.0766
S,Fresh,Not Processed,-0.663,0.0969
Zn,Fresh,Not Processed,-0.2123,0.0927
